category,price,product_identifier,title,description,brand,features,quality_score,enriched
Books,33.55,BY4UC1UWUT,TrustMark Industry-Leading Books Item,Premium books product with exceptional quality. Intuitive design. Extended lifespan.,TrustMark,"[np.str_('Intuitive design'), np.str_('Extended lifespan'), np.str_('Premium-grade materials'), np.str_('Exceptional value')]",1.0,True
Electronics,490.73,BUVBMP9HJO,DigiMax Premium Electronics Item,Premium electronics product with exceptional quality. Intelligent voice assistant. Lightning-fast charging.,DigiMax,"[np.str_('Intelligent voice assistant'), np.str_('Lightning-fast charging'), np.str_('Crystal-clear OLED display'), np.str_('Advanced Bluetooth 5.0')]",1.0,True
Health & Beauty,24.84,B43C4K7KPX,PrimePick Best-in-Class Health & Beauty Item,Premium health & beauty product with exceptional quality. Intuitive design. Extended lifespan.,PrimePick,"[np.str_('Intuitive design'), np.str_('Extended lifespan'), np.str_('Premium-grade materials'), np.str_('Enhanced durability')]",1.0,True
Clothing,160.02,BU9XOOP3LG,ComfortPlus Performance Clothing Item,Premium clothing product with exceptional quality. Rapid-dry technology. Permanent wrinkle-free technology.,ComfortPlus,"[np.str_('Rapid-dry technology'), np.str_('Permanent wrinkle-free technology'), np.str_('Advanced moisture-wicking fabric'), np.str_('4-way stretch comfort')]",1.0,True
Home & Garden,63.22,BA10ZQZF6S,TrustMark Premium Home & Garden Item,Premium home & garden product with exceptional quality. Enhanced durability. Intuitive design.,TrustMark,"[np.str_('Enhanced durability'), np.str_('Intuitive design'), np.str_('Extended lifespan'), np.str_('Premium-grade materials')]",1.0,True
Health & Beauty,58.14,BFRQFNIKYW,QualityFirst Premium Health & Beauty Item,Premium health & beauty product with exceptional quality. Extended lifespan. Intuitive design.,QualityFirst,"[np.str_('Extended lifespan'), np.str_('Intuitive design'), np.str_('Enhanced durability'), np.str_('Exceptional value')]",1.0,True
Sports & Outdoors,39.98,BNMEM8N6RZ,PrimePick Premium Sports & Outdoors Item,Premium sports & outdoors product with exceptional quality. Intuitive design. Enhanced durability.,PrimePick,"[np.str_('Intuitive design'), np.str_('Enhanced durability'), np.str_('Premium-grade materials'), np.str_('Exceptional value')]",1.0,True
Books,58.46,BJJ2JZ2Q0J,TrustMark Professional-Grade Books Item,Premium books product with exceptional quality. Enhanced durability. Exceptional value.,TrustMark,"[np.str_('Enhanced durability'), np.str_('Exceptional value'), np.str_('Extended lifespan'), np.str_('Premium-grade materials')]",1.0,True
Electronics,1358.77,BDEQZHZL3U,TechPro Cutting-Edge Electronics Item,Premium electronics product with exceptional quality. Industry-leading battery life. Intelligent voice assistant.,TechPro,"[np.str_('Industry-leading battery life'), np.str_('Intelligent voice assistant'), np.str_('Crystal-clear OLED display'), np.str_('Lightning-fast charging')]",1.0,True
Sports & Outdoors,259.14,BGA1RZXPLW,TrustMark Industry-Leading Sports & Outdoors Item,Premium sports & outdoors product with exceptional quality. Premium-grade materials. Extended lifespan.,TrustMark,"[np.str_('Premium-grade materials'), np.str_('Extended lifespan'), np.str_('Enhanced durability'), np.str_('Intuitive design')]",1.0,True
Clothing,135.22,BVWD1O2BGR,UrbanWear Premium Clothing Item,Premium clothing product with exceptional quality. Permanent wrinkle-free technology. 4-way stretch comfort.,UrbanWear,"[np.str_('Permanent wrinkle-free technology'), np.str_('4-way stretch comfort'), np.str_('Advanced moisture-wicking fabric'), np.str_('Rapid-dry technology')]",1.0,True
Clothing,41.74,BLYDGV2GK7,ClassicWear Designer Clothing Item,Premium clothing product with exceptional quality. Permanent wrinkle-free technology. Easy-care machine washable.,ClassicWear,"[np.str_('Permanent wrinkle-free technology'), np.str_('Easy-care machine washable'), np.str_('Rapid-dry technology'), np.str_('4-way stretch comfort')]",1.0,True
Health & Beauty,32.97,BUWVKAF8PR,BestChoice Professional-Grade Health & Beauty Item,Premium health & beauty product with exceptional quality. Extended lifespan. Exceptional value.,BestChoice,"[np.str_('Extended lifespan'), np.str_('Exceptional value'), np.str_('Intuitive design'), np.str_('Premium-grade materials')]",1.0,True
Books,14.14,B2JRYRP7FU,PrimePick Premium Books Item,Premium books product with exceptional quality. Premium-grade materials. Extended lifespan.,PrimePick,"[np.str_('Premium-grade materials'), np.str_('Extended lifespan'), np.str_('Enhanced durability'), np.str_('Intuitive design')]",1.0,True
Sports & Outdoors,91.09,BR8LTS4PKA,PrimePick Professional-Grade Sports & Outdoors Item,Premium sports & outdoors product with exceptional quality. Enhanced durability. Exceptional value.,PrimePick,"[np.str_('Enhanced durability'), np.str_('Exceptional value'), np.str_('Intuitive design'), np.str_('Premium-grade materials')]",1.0,True
Home & Garden,450.16,B3TFKTLDXY,ValueBrand Best-in-Class Home & Garden Item,Premium home & garden product with exceptional quality. Enhanced durability. Extended lifespan.,ValueBrand,"[np.str_('Enhanced durability'), np.str_('Extended lifespan'), np.str_('Exceptional value'), np.str_('Intuitive design')]",1.0,True
Electronics,1006.16,BK0071LDW6,TechPro AI-Powered Electronics Item,Premium electronics product with exceptional quality. Crystal-clear OLED display. Lightning-fast charging.,TechPro,"[np.str_('Crystal-clear OLED display'), np.str_('Lightning-fast charging'), np.str_('Advanced Bluetooth 5.0'), np.str_('Industry-leading battery life')]",1.0,True
Health & Beauty,10.69,BIFTTNL3Q3,TrustMark Award-Winning Health & Beauty Item,Premium health & beauty product with exceptional quality. Extended lifespan. Premium-grade materials.,TrustMark,"[np.str_('Extended lifespan'), np.str_('Premium-grade materials'), np.str_('Exceptional value'), np.str_('Enhanced durability')]",1.0,True
Health & Beauty,76.61,BLWKWS6J97,TrustMark Professional-Grade Health & Beauty Item,Premium health & beauty product with exceptional quality. Extended lifespan. Exceptional value.,TrustMark,"[np.str_('Extended lifespan'), np.str_('Exceptional value'), np.str_('Intuitive design'), np.str_('Premium-grade materials')]",1.0,True
Clothing,23.31,BFKP89F6D0,TrendyThreads Luxurious Clothing Item,Premium clothing product with exceptional quality. 4-way stretch comfort. Rapid-dry technology.,TrendyThreads,"[np.str_('4-way stretch comfort'), np.str_('Rapid-dry technology'), np.str_('Advanced moisture-wicking fabric'), np.str_('Permanent wrinkle-free technology')]",1.0,True
Food & Beverage,45.21,B6ESQLA1MX,QualityFirst Award-Winning Food & Beverage Item,Premium food & beverage product with exceptional quality. Premium-grade materials. Exceptional value.,QualityFirst,"[np.str_('Premium-grade materials'), np.str_('Exceptional value'), np.str_('Intuitive design'), np.str_('Enhanced durability')]",1.0,True
Books,14.72,BN00NJA78I,BestChoice Professional-Grade Books Item,Premium books product with exceptional quality. Enhanced durability. Premium-grade materials.,BestChoice,"[np.str_('Enhanced durability'), np.str_('Premium-grade materials'), np.str_('Extended lifespan'), np.str_('Intuitive design')]",1.0,True
Electronics,1255.11,BE6F0GNVZ5,SmartLife Premium Electronics Item,Premium electronics product with exceptional quality. Crystal-clear OLED display. Advanced Bluetooth 5.0.,SmartLife,"[np.str_('Crystal-clear OLED display'), np.str_('Advanced Bluetooth 5.0'), np.str_('Intelligent voice assistant'), np.str_('Industry-leading battery life')]",1.0,True
Electronics,499.97,BH91L8RSPF,SmartLife Cutting-Edge Electronics Item,Premium electronics product with exceptional quality. Advanced Bluetooth 5.0. Intelligent voice assistant.,SmartLife,"[np.str_('Advanced Bluetooth 5.0'), np.str_('Intelligent voice assistant'), np.str_('Lightning-fast charging'), np.str_('Crystal-clear OLED display')]",1.0,True
Health & Beauty,24.54,BAKEAY8EKS,QualityFirst Award-Winning Health & Beauty Item,Premium health & beauty product with exceptional quality. Intuitive design. Exceptional value.,QualityFirst,"[np.str_('Intuitive design'), np.str_('Exceptional value'), np.str_('Enhanced durability'), np.str_('Extended lifespan')]",1.0,True
Health & Beauty,49.84,BYPH52AZD0,QualityFirst Best-in-Class Health & Beauty Item,Premium health & beauty product with exceptional quality. Enhanced durability. Intuitive design.,QualityFirst,"[np.str_('Enhanced durability'), np.str_('Intuitive design'), np.str_('Premium-grade materials'), np.str_('Extended lifespan')]",1.0,True
Food & Beverage,10.57,BEU7CO9KER,BestChoice Premium Food & Beverage Item,Premium food & beverage product with exceptional quality. Premium-grade materials. Enhanced durability.,BestChoice,"[np.str_('Premium-grade materials'), np.str_('Enhanced durability'), np.str_('Extended lifespan'), np.str_('Intuitive design')]",1.0,True
Sports & Outdoors,287.35,BXSK87RAVT,TrustMark Industry-Leading Sports & Outdoors Item,Premium sports & outdoors product with exceptional quality. Exceptional value. Intuitive design.,TrustMark,"[np.str_('Exceptional value'), np.str_('Intuitive design'), np.str_('Premium-grade materials'), np.str_('Enhanced durability')]",1.0,True
Clothing,34.59,BW0F0PA8FV,StyleFit Eco-Conscious Clothing Item,Premium clothing product with exceptional quality. Advanced moisture-wicking fabric. 4-way stretch comfort.,StyleFit,"[np.str_('Advanced moisture-wicking fabric'), np.str_('4-way stretch comfort'), np.str_('Permanent wrinkle-free technology'), np.str_('Easy-care machine washable')]",1.0,True
Clothing,163.81,B7PQW24AXD,TrendyThreads Luxurious Clothing Item,Premium clothing product with exceptional quality. Easy-care machine washable. Permanent wrinkle-free technology.,TrendyThreads,"[np.str_('Easy-care machine washable'), np.str_('Permanent wrinkle-free technology'), np.str_('Rapid-dry technology'), np.str_('4-way stretch comfort')]",1.0,True
Home & Garden,402.47,B3QIMT1V75,ValueBrand Best-in-Class Home & Garden Item,Premium home & garden product with exceptional quality. Enhanced durability. Exceptional value.,ValueBrand,"[np.str_('Enhanced durability'), np.str_('Exceptional value'), np.str_('Extended lifespan'), np.str_('Premium-grade materials')]",1.0,True
Food & Beverage,23.57,BVEN7PEX85,TrustMark Award-Winning Food & Beverage Item,Premium food & beverage product with exceptional quality. Enhanced durability. Exceptional value.,TrustMark,"[np.str_('Enhanced durability'), np.str_('Exceptional value'), np.str_('Intuitive design'), np.str_('Extended lifespan')]",1.0,True
Home & Garden,138.96,BQJI90438D,TrustMark Industry-Leading Home & Garden Item,Premium home & garden product with exceptional quality. Premium-grade materials. Exceptional value.,TrustMark,"[np.str_('Premium-grade materials'), np.str_('Exceptional value'), np.str_('Extended lifespan'), np.str_('Intuitive design')]",1.0,True
Health & Beauty,50.8,BCMFG3LL7F,ValueBrand Industry-Leading Health & Beauty Item,Premium health & beauty product with exceptional quality. Exceptional value. Extended lifespan.,ValueBrand,"[np.str_('Exceptional value'), np.str_('Extended lifespan'), np.str_('Intuitive design'), np.str_('Premium-grade materials')]",1.0,True
Health & Beauty,19.92,B7FKUFQETA,QualityFirst Best-in-Class Health & Beauty Item,Premium health & beauty product with exceptional quality. Exceptional value. Intuitive design.,QualityFirst,"[np.str_('Exceptional value'), np.str_('Intuitive design'), np.str_('Premium-grade materials'), np.str_('Extended lifespan')]",1.0,True
Toys & Games,25.72,BB3BPVSY2O,BestChoice Industry-Leading Toys & Games Item,Premium toys & games product with exceptional quality. Extended lifespan. Enhanced durability.,BestChoice,"[np.str_('Extended lifespan'), np.str_('Enhanced durability'), np.str_('Premium-grade materials'), np.str_('Exceptional value')]",1.0,True
Food & Beverage,27.7,BL0524TBRG,QualityFirst Award-Winning Food & Beverage Item,Premium food & beverage product with exceptional quality. Extended lifespan. Enhanced durability.,QualityFirst,"[np.str_('Extended lifespan'), np.str_('Enhanced durability'), np.str_('Exceptional value'), np.str_('Intuitive design')]",1.0,True
Health & Beauty,25.96,BIXU8OKBAN,PrimePick Professional-Grade Health & Beauty Item,Premium health & beauty product with exceptional quality. Intuitive design. Enhanced durability.,PrimePick,"[np.str_('Intuitive design'), np.str_('Enhanced durability'), np.str_('Exceptional value'), np.str_('Premium-grade materials')]",1.0,True
Health & Beauty,15.32,BSD4DBO7YD,QualityFirst Award-Winning Health & Beauty Item,Premium health & beauty product with exceptional quality. Intuitive design. Extended lifespan.,QualityFirst,"[np.str_('Intuitive design'), np.str_('Extended lifespan'), np.str_('Exceptional value'), np.str_('Premium-grade materials')]",1.0,True
Food & Beverage,45.62,B4I9L2U2WX,TrustMark Best-in-Class Food & Beverage Item,Premium food & beverage product with exceptional quality. Intuitive design. Exceptional value.,TrustMark,"[np.str_('Intuitive design'), np.str_('Exceptional value'), np.str_('Premium-grade materials'), np.str_('Enhanced durability')]",1.0,True
