category,price,product_identifier,title,description,brand,features,quality_score
Home & Garden,63.22,BA10ZQZF6S,TrustMark Professional Home & Garden Item,Quality home & garden product for everyday use. High quality materials. Long lasting.,TrustMark,"[np.str_('High quality materials'), np.str_('Long lasting'), np.str_('Durable construction'), np.str_('Easy to use')]",0.894
Health & Beauty,58.14,BFRQFNIKYW,QualityFirst Essential Health & Beauty Item,Quality health & beauty product for everyday use. Long lasting. Durable construction.,QualityFirst,"[np.str_('Long lasting'), np.str_('Durable construction'), np.str_('Easy to use'), np.str_('Great value')]",0.906
Sports & Outdoors,39.98,BNMEM8N6RZ,PrimePick Professional Sports & Outdoors Item,Quality sports & outdoors product for everyday use. Durable construction. Great value.,PrimePick,"[np.str_('Durable construction'), np.str_('Great value'), np.str_('High quality materials'), np.str_('Long lasting')]",0.921
Books,58.46,BJJ2JZ2Q0J,TrustMark Classic Books Item,Quality books product for everyday use. Easy to use. High quality materials.,TrustMark,"[np.str_('Easy to use'), np.str_('High quality materials'), np.str_('Durable construction'), np.str_('Long lasting')]",0.784
Electronics,1358.77,BDEQZHZL3U,TechPro Advanced Electronics Item,Quality electronics product for everyday use. Long battery life. Bluetooth connectivity.,TechPro,"[np.str_('Long battery life'), np.str_('Bluetooth connectivity'), np.str_('LCD display'), np.str_('Fast charging')]",0.856
Sports & Outdoors,259.14,BGA1RZXPLW,TrustMark Premium Sports & Outdoors Item,Quality sports & outdoors product for everyday use. Long lasting. High quality materials.,TrustMark,"[np.str_('Long lasting'), np.str_('High quality materials'), np.str_('Easy to use'), np.str_('Great value')]",0.902
Clothing,135.22,BVWD1O2BGR,UrbanWear Comfortable Clothing Item,Quality clothing product for everyday use. Wrinkle resistant. Quick dry.,UrbanWear,"[np.str_('Wrinkle resistant'), np.str_('Quick dry'), np.str_('Stretch fit'), np.str_('Machine washable')]",0.812
Clothing,41.74,BLYDGV2GK7,ClassicWear Premium Clothing Item,Quality clothing product for everyday use. Breathable fabric. Stretch fit.,ClassicWear,"[np.str_('Breathable fabric'), np.str_('Stretch fit'), np.str_('Wrinkle resistant'), np.str_('Machine washable')]",0.807
Health & Beauty,32.97,BUWVKAF8PR,BestChoice Essential Health & Beauty Item,Quality health & beauty product for everyday use. Great value. Easy to use.,BestChoice,"[np.str_('Great value'), np.str_('Easy to use'), np.str_('Durable construction'), np.str_('Long lasting')]",0.858
Books,14.14,B2JRYRP7FU,PrimePick Professional Books Item,Quality books product for everyday use. Easy to use. Long lasting.,PrimePick,"[np.str_('Easy to use'), np.str_('Long lasting'), np.str_('High quality materials'), np.str_('Durable construction')]",0.779
Sports & Outdoors,91.09,BR8LTS4PKA,PrimePick Premium Sports & Outdoors Item,Quality sports & outdoors product for everyday use. Durable construction. Great value.,PrimePick,"[np.str_('Durable construction'), np.str_('Great value'), np.str_('High quality materials'), np.str_('Easy to use')]",0.891
Home & Garden,450.16,B3TFKTLDXY,ValueBrand Essential Home & Garden Item,Quality home & garden product for everyday use. Durable construction. Easy to use.,ValueBrand,"[np.str_('Durable construction'), np.str_('Easy to use'), np.str_('High quality materials'), np.str_('Great value')]",0.871
Electronics,1006.16,BK0071LDW6,TechPro Pro Electronics Item,Quality electronics product for everyday use. Long battery life. Bluetooth connectivity.,TechPro,"[np.str_('Long battery life'), np.str_('Bluetooth connectivity'), np.str_('Fast charging'), np.str_('Voice control')]",0.826
Health & Beauty,10.69,BIFTTNL3Q3,TrustMark Classic Health & Beauty Item,Quality health & beauty product for everyday use. Durable construction. Easy to use.,TrustMark,"[np.str_('Durable construction'), np.str_('Easy to use'), np.str_('Great value'), np.str_('High quality materials')]",0.872
Health & Beauty,76.61,BLWKWS6J97,TrustMark Premium Health & Beauty Item,Quality health & beauty product for everyday use. High quality materials. Durable construction.,TrustMark,"[np.str_('High quality materials'), np.str_('Durable construction'), np.str_('Great value'), np.str_('Easy to use')]",0.91
Clothing,23.31,BFKP89F6D0,TrendyThreads Comfortable Clothing Item,Quality clothing product for everyday use. Wrinkle resistant. Breathable fabric.,TrendyThreads,"[np.str_('Wrinkle resistant'), np.str_('Breathable fabric'), np.str_('Machine washable'), np.str_('Quick dry')]",0.864
Food & Beverage,45.21,B6ESQLA1MX,QualityFirst Premium Food & Beverage Item,Quality food & beverage product for everyday use. Long lasting. Easy to use.,QualityFirst,"[np.str_('Long lasting'), np.str_('Easy to use'), np.str_('Durable construction'), np.str_('Great value')]",0.862
Books,14.72,BN00NJA78I,BestChoice Essential Books Item,Quality books product for everyday use. Durable construction. High quality materials.,BestChoice,"[np.str_('Durable construction'), np.str_('High quality materials'), np.str_('Long lasting'), np.str_('Great value')]",0.834
Electronics,1255.11,BE6F0GNVZ5,SmartLife Advanced Electronics Item,Quality electronics product for everyday use. Fast charging. Voice control.,SmartLife,"[np.str_('Fast charging'), np.str_('Voice control'), np.str_('Bluetooth connectivity'), np.str_('LCD display')]",0.822
Electronics,499.97,BH91L8RSPF,SmartLife Wireless Electronics Item,Quality electronics product for everyday use. LCD display. Long battery life.,SmartLife,"[np.str_('LCD display'), np.str_('Long battery life'), np.str_('Fast charging'), np.str_('Bluetooth connectivity')]",0.83
Health & Beauty,24.54,BAKEAY8EKS,QualityFirst Professional Health & Beauty Item,Quality health & beauty product for everyday use. Easy to use. High quality materials.,QualityFirst,"[np.str_('Easy to use'), np.str_('High quality materials'), np.str_('Durable construction'), np.str_('Long lasting')]",0.927
Health & Beauty,49.84,BYPH52AZD0,QualityFirst Essential Health & Beauty Item,Quality health & beauty product for everyday use. High quality materials. Durable construction.,QualityFirst,"[np.str_('High quality materials'), np.str_('Durable construction'), np.str_('Long lasting'), np.str_('Easy to use')]",0.941
Food & Beverage,10.57,BEU7CO9KER,BestChoice Professional Food & Beverage Item,Quality food & beverage product for everyday use. Easy to use. Long lasting.,BestChoice,"[np.str_('Easy to use'), np.str_('Long lasting'), np.str_('Great value'), np.str_('Durable construction')]",0.88
Sports & Outdoors,287.35,BXSK87RAVT,TrustMark Premium Sports & Outdoors Item,Quality sports & outdoors product for everyday use. Great value. High quality materials.,TrustMark,"[np.str_('Great value'), np.str_('High quality materials'), np.str_('Easy to use'), np.str_('Long lasting')]",0.898
Clothing,34.59,BW0F0PA8FV,StyleFit Lightweight Clothing Item,Quality clothing product for everyday use. Breathable fabric. Wrinkle resistant.,StyleFit,"[np.str_('Breathable fabric'), np.str_('Wrinkle resistant'), np.str_('Machine washable'), np.str_('Stretch fit')]",0.834
Clothing,163.81,B7PQW24AXD,TrendyThreads Stylish Clothing Item,Quality clothing product for everyday use. Quick dry. Wrinkle resistant.,TrendyThreads,"[np.str_('Quick dry'), np.str_('Wrinkle resistant'), np.str_('Machine washable'), np.str_('Breathable fabric')]",0.812
Home & Garden,402.47,B3QIMT1V75,ValueBrand Professional Home & Garden Item,Quality home & garden product for everyday use. Long lasting. High quality materials.,ValueBrand,"[np.str_('Long lasting'), np.str_('High quality materials'), np.str_('Easy to use'), np.str_('Great value')]",0.9
Food & Beverage,23.57,BVEN7PEX85,TrustMark Classic Food & Beverage Item,Quality food & beverage product for everyday use. Durable construction. Easy to use.,TrustMark,"[np.str_('Durable construction'), np.str_('Easy to use'), np.str_('Long lasting'), np.str_('High quality materials')]",0.872
Home & Garden,138.96,BQJI90438D,TrustMark Professional Home & Garden Item,Quality home & garden product for everyday use. Great value. High quality materials.,TrustMark,"[np.str_('Great value'), np.str_('High quality materials'), np.str_('Long lasting'), np.str_('Durable construction')]",0.89
Health & Beauty,50.8,BCMFG3LL7F,ValueBrand Premium Health & Beauty Item,Quality health & beauty product for everyday use. High quality materials. Long lasting.,ValueBrand,"[np.str_('High quality materials'), np.str_('Long lasting'), np.str_('Great value'), np.str_('Durable construction')]",0.888
Health & Beauty,19.92,B7FKUFQETA,QualityFirst Classic Health & Beauty Item,Quality health & beauty product for everyday use. Durable construction. Great value.,QualityFirst,"[np.str_('Durable construction'), np.str_('Great value'), np.str_('Long lasting'), np.str_('Easy to use')]",0.89
Toys & Games,25.72,BB3BPVSY2O,BestChoice Classic Toys & Games Item,Quality toys & games product for everyday use. Long lasting. Easy to use.,BestChoice,"[np.str_('Long lasting'), np.str_('Easy to use'), np.str_('High quality materials'), np.str_('Durable construction')]",0.822
Food & Beverage,27.7,BL0524TBRG,QualityFirst Essential Food & Beverage Item,Quality food & beverage product for everyday use. Long lasting. Easy to use.,QualityFirst,"[np.str_('Long lasting'), np.str_('Easy to use'), np.str_('Great value'), np.str_('Durable construction')]",0.874
Health & Beauty,25.96,BIXU8OKBAN,PrimePick Premium Health & Beauty Item,Quality health & beauty product for everyday use. Great value. Easy to use.,PrimePick,"[np.str_('Great value'), np.str_('Easy to use'), np.str_('Durable construction'), np.str_('Long lasting')]",0.84
Health & Beauty,15.32,BSD4DBO7YD,QualityFirst Classic Health & Beauty Item,Quality health & beauty product for everyday use. Durable construction. Long lasting.,QualityFirst,"[np.str_('Durable construction'), np.str_('Long lasting'), np.str_('High quality materials'), np.str_('Great value')]",0.894
Food & Beverage,45.62,B4I9L2U2WX,TrustMark Essential Food & Beverage Item,Quality food & beverage product for everyday use. Long lasting. High quality materials.,TrustMark,"[np.str_('Long lasting'), np.str_('High quality materials'), np.str_('Durable construction'), np.str_('Great value')]",0.894
