category,price,product_identifier,title,description,brand,features,quality_score,enriched
Electronics,1006.16,BK0071LDW6,DigiMax AI-Powered Electronics Item,Premium electronics product with exceptional quality. Crystal-clear OLED display. Lightning-fast charging.,DigiMax,"[np.str_('Crystal-clear OLED display'), np.str_('Lightning-fast charging'), np.str_('Advanced Bluetooth 5.0'), np.str_('Industry-leading battery life')]",1.0,True
Health & Beauty,10.69,BIFTTNL3Q3,ValueBrand Award-Winning Health & Beauty Item,Premium health & beauty product with exceptional quality. Extended lifespan. Premium-grade materials.,ValueBrand,"[np.str_('Extended lifespan'), np.str_('Premium-grade materials'), np.str_('Exceptional value'), np.str_('Enhanced durability')]",1.0,True
Health & Beauty,76.61,BLWKWS6J97,BestChoice Professional-Grade Health & Beauty Item,Premium health & beauty product with exceptional quality. Extended lifespan. Exceptional value.,BestChoice,"[np.str_('Extended lifespan'), np.str_('Exceptional value'), np.str_('Intuitive design'), np.str_('Premium-grade materials')]",1.0,True
Clothing,23.31,BFKP89F6D0,StyleFit Luxurious Clothing Item,Premium clothing product with exceptional quality. 4-way stretch comfort. Rapid-dry technology.,StyleFit,"[np.str_('4-way stretch comfort'), np.str_('Rapid-dry technology'), np.str_('Advanced moisture-wicking fabric'), np.str_('Permanent wrinkle-free technology')]",1.0,True
Food & Beverage,45.21,B6ESQLA1MX,BestChoice Award-Winning Food & Beverage Item,Premium food & beverage product with exceptional quality. Premium-grade materials. Exceptional value.,BestChoice,"[np.str_('Premium-grade materials'), np.str_('Exceptional value'), np.str_('Intuitive design'), np.str_('Enhanced durability')]",1.0,True
Books,14.72,BN00NJA78I,TrustMark Professional-Grade Books Item,Premium books product with exceptional quality. Enhanced durability. Premium-grade materials.,TrustMark,"[np.str_('Enhanced durability'), np.str_('Premium-grade materials'), np.str_('Extended lifespan'), np.str_('Intuitive design')]",1.0,True
Electronics,1255.11,BE6F0GNVZ5,SmartLife Premium Electronics Item,Premium electronics product with exceptional quality. Crystal-clear OLED display. Advanced Bluetooth 5.0.,SmartLife,"[np.str_('Crystal-clear OLED display'), np.str_('Advanced Bluetooth 5.0'), np.str_('Intelligent voice assistant'), np.str_('Industry-leading battery life')]",1.0,True
Electronics,499.97,BH91L8RSPF,SmartLife Cutting-Edge Electronics Item,Premium electronics product with exceptional quality. Advanced Bluetooth 5.0. Intelligent voice assistant.,SmartLife,"[np.str_('Advanced Bluetooth 5.0'), np.str_('Intelligent voice assistant'), np.str_('Lightning-fast charging'), np.str_('Crystal-clear OLED display')]",1.0,True
Health & Beauty,24.54,BAKEAY8EKS,PrimePick Award-Winning Health & Beauty Item,Premium health & beauty product with exceptional quality. Intuitive design. Exceptional value.,PrimePick,"[np.str_('Intuitive design'), np.str_('Exceptional value'), np.str_('Enhanced durability'), np.str_('Extended lifespan')]",1.0,True
Health & Beauty,49.84,BYPH52AZD0,BestChoice Best-in-Class Health & Beauty Item,Premium health & beauty product with exceptional quality. Enhanced durability. Intuitive design.,BestChoice,"[np.str_('Enhanced durability'), np.str_('Intuitive design'), np.str_('Premium-grade materials'), np.str_('Extended lifespan')]",1.0,True
Food & Beverage,10.57,BEU7CO9KER,PrimePick Premium Food & Beverage Item,Premium food & beverage product with exceptional quality. Premium-grade materials. Enhanced durability.,PrimePick,"[np.str_('Premium-grade materials'), np.str_('Enhanced durability'), np.str_('Extended lifespan'), np.str_('Intuitive design')]",1.0,True
Sports & Outdoors,287.35,BXSK87RAVT,BestChoice Industry-Leading Sports & Outdoors Item,Premium sports & outdoors product with exceptional quality. Exceptional value. Intuitive design.,BestChoice,"[np.str_('Exceptional value'), np.str_('Intuitive design'), np.str_('Premium-grade materials'), np.str_('Enhanced durability')]",1.0,True
Clothing,34.59,BW0F0PA8FV,ClassicWear Eco-Conscious Clothing Item,Premium clothing product with exceptional quality. Advanced moisture-wicking fabric. 4-way stretch comfort.,ClassicWear,"[np.str_('Advanced moisture-wicking fabric'), np.str_('4-way stretch comfort'), np.str_('Permanent wrinkle-free technology'), np.str_('Easy-care machine washable')]",1.0,True
Clothing,163.81,B7PQW24AXD,StyleFit Luxurious Clothing Item,Premium clothing product with exceptional quality. Easy-care machine washable. Permanent wrinkle-free technology.,StyleFit,"[np.str_('Easy-care machine washable'), np.str_('Permanent wrinkle-free technology'), np.str_('Rapid-dry technology'), np.str_('4-way stretch comfort')]",1.0,True
Home & Garden,402.47,B3QIMT1V75,PrimePick Best-in-Class Home & Garden Item,Premium home & garden product with exceptional quality. Enhanced durability. Exceptional value.,PrimePick,"[np.str_('Enhanced durability'), np.str_('Exceptional value'), np.str_('Extended lifespan'), np.str_('Premium-grade materials')]",1.0,True
Food & Beverage,23.57,BVEN7PEX85,PrimePick Award-Winning Food & Beverage Item,Premium food & beverage product with exceptional quality. Enhanced durability. Exceptional value.,PrimePick,"[np.str_('Enhanced durability'), np.str_('Exceptional value'), np.str_('Intuitive design'), np.str_('Extended lifespan')]",1.0,True
Home & Garden,138.96,BQJI90438D,ValueBrand Industry-Leading Home & Garden Item,Premium home & garden product with exceptional quality. Premium-grade materials. Exceptional value.,ValueBrand,"[np.str_('Premium-grade materials'), np.str_('Exceptional value'), np.str_('Extended lifespan'), np.str_('Intuitive design')]",1.0,True
Health & Beauty,50.8,BCMFG3LL7F,BestChoice Industry-Leading Health & Beauty Item,Premium health & beauty product with exceptional quality. Exceptional value. Extended lifespan.,BestChoice,"[np.str_('Exceptional value'), np.str_('Extended lifespan'), np.str_('Intuitive design'), np.str_('Premium-grade materials')]",1.0,True
Health & Beauty,19.92,B7FKUFQETA,PrimePick Best-in-Class Health & Beauty Item,Premium health & beauty product with exceptional quality. Exceptional value. Intuitive design.,PrimePick,"[np.str_('Exceptional value'), np.str_('Intuitive design'), np.str_('Premium-grade materials'), np.str_('Extended lifespan')]",1.0,True
Toys & Games,25.72,BB3BPVSY2O,QualityFirst Industry-Leading Toys & Games Item,Premium toys & games product with exceptional quality. Extended lifespan. Enhanced durability.,QualityFirst,"[np.str_('Extended lifespan'), np.str_('Enhanced durability'), np.str_('Premium-grade materials'), np.str_('Exceptional value')]",1.0,True
Food & Beverage,27.7,BL0524TBRG,ValueBrand Award-Winning Food & Beverage Item,Premium food & beverage product with exceptional quality. Extended lifespan. Enhanced durability.,ValueBrand,"[np.str_('Extended lifespan'), np.str_('Enhanced durability'), np.str_('Exceptional value'), np.str_('Intuitive design')]",1.0,True
Health & Beauty,25.96,BIXU8OKBAN,ValueBrand Professional-Grade Health & Beauty Item,Premium health & beauty product with exceptional quality. Intuitive design. Enhanced durability.,ValueBrand,"[np.str_('Intuitive design'), np.str_('Enhanced durability'), np.str_('Exceptional value'), np.str_('Premium-grade materials')]",1.0,True
Health & Beauty,15.32,BSD4DBO7YD,PrimePick Award-Winning Health & Beauty Item,Premium health & beauty product with exceptional quality. Intuitive design. Extended lifespan.,PrimePick,"[np.str_('Intuitive design'), np.str_('Extended lifespan'), np.str_('Exceptional value'), np.str_('Premium-grade materials')]",1.0,True
Food & Beverage,45.62,B4I9L2U2WX,ValueBrand Best-in-Class Food & Beverage Item,Premium food & beverage product with exceptional quality. Intuitive design. Exceptional value.,ValueBrand,"[np.str_('Intuitive design'), np.str_('Exceptional value'), np.str_('Premium-grade materials'), np.str_('Enhanced durability')]",1.0,True
